label,review,length,positive,negative,anger,disgust,fear,sadness,surprise,good,happy
0,哈哈哈有点损，也不是全无道理穿西服的不一定都是君子，也有可能是唐骏；笑得灿烂的不一定都是真诚，也有可能是唐骏；梳分头的不一定都是汉奸，也有可能是唐骏；高学历的不一定都是博士，也有可能是唐骏……【转】,72,7,2,0,2,0,0,0,7,0
1,啊？？？我还在说你咋还不发样片给我呢！！！我拿不准如何更好操作，萌萌，样片有时间发我吧！！！亲爱的们，Happy Victim 的照片快快发回给我啊！！！你们竟然个顶个的肉快快快快我老大要发飙 了！！！！！@ 翟冠超,76,3,1,0,1,0,0,0,2,1
2,"天阿..快5點 了,,我還 是睡不著..太想你了..大飛",21,0,0,0,0,0,0,0,0,0
0,我勒个去～德迷心态～看着你嫩白的身体在开水中翻滚缩小，心理一阵快感,20,1,0,0,0,0,0,0,0,1
0,虽然年轻、但是专业、负责，一不小心混进了律师队伍、便注定要用一生去挥洒我的真情,24,3,0,0,0,0,0,0,3,0
0,呵呵。同意并严重同意！今晚去领会用了个意绝对同意。agree 即认同《盗梦空间》引进国内号称一刀未剪，主要原因是电影局那帮人的智商，实在不知道从哪里剪起。对此，我深信不疑。,52,3,1,0,1,0,0,0,2,1
0,用赌球网站看国米直播，相当的流程,9,0,0,0,0,0,0,0,0,0
1,抱著膜拜的心理~ 神呀，和副线品牌D & G 的花团锦簇相比，Dolce & Gabbana 的这一季春夏，倒是显得淡雅许多，没有强烈的视觉印象，或是鲜艳色彩的配置，从女性内衣的剪裁和式样获得启发，辅以大量的白色蕾丝做装饰，呈现精致的质感，甚至也结合了蕾丝和招牌豹纹的图腾，对比的冲突让人觉得有趣。,93,10,0,0,0,0,0,0,8,2
0,可是还不都是在装？这就是虚荣和浮华啊。。。时装周就是各种装，不切实际的打扮，痛死人不偿命且男女皆穿的高跟鞋，饿死人也要争抢追捧的超级名牌，轻飘的笑容，妩媚的吸引，全都是为了在镜头下的那一刹那。唯有地铁里孩童天使般的笑容，才瞬间把我带回真实的宁静之中。这是属于我们本来的美好，仅此而已,91,9,4,0,4,0,0,0,5,4
0,沙皇“虽然你扑灭了森林大火，但我心中的火焰仍在熊熊燃烧。”（莫斯科国立大学新闻专业12名女生以内衣月历为普京昨天的58岁生日庆生）。普京身高1.70米，他曾说“我曾是很活跃的孩子，因为不够高大，为了不辱斗士之名，我必须借助武力。刚练拳击就被人打烂了鼻子，因此练柔道，很快就发现了我的优势所在”,93,5,1,0,1,0,0,0,5,0
0,人生无常，珍惜现在。网络id 就是墓碑，每一次签名都有可能是我们的墓志铭。“我是一个特二的人，只会特二的爱，我只是想把一片浮云砸进心坎里。”每次看到，心酸难忍。我们这代人，网络id 就是墓碑，每一次签名都有可能是我们的墓志铭。,74,1,3,0,2,0,1,0,1,0
0,大量的半瓶子技术派散户喜欢在突破之后买进。更有部分“先知”在突破之前“潜伏”，以图更多获利。为了满足这些人的愿望，就在那拉一个涨停，在涨停上短线出货是最舒服的。放心，散户是绝对不会在涨停卖出的，他们觉得明天都会冲高，冲高他们也不会卖。他们脑海里都是美好愿望，再来个涨停~ ~ ！,93,7,1,0,0,1,0,0,4,3
2,不知不觉的你已经去了天堂三年了，你过得还好吗？天使!生日快樂 ！Hi 妳 好嗎 ?很想妳 ！,35,2,0,0,0,0,0,0,1,1
3,曾经想把它当做自己的儿童节礼物...iPad 最新广告来了，果粉们速看,20,1,0,0,0,0,0,0,1,0
0,"老妈,快看!皮肤最爱的食物Top8 。记得常吃！【皮肤最爱的食物Top8 】1.西兰花--增强皮肤抗损伤能力。2.牛奶--增强皮肤张力。3.胡萝卜--保持皮肤润泽细嫩。4.猕猴桃--消除雀斑等斑点。5.大豆--防止色素沉着于皮肤。6.西红柿--展平皮肤新皱纹7.肉皮--充盈皮肤肤、减少皱纹。8.蜂蜜--保持皮肤红润有光泽。",106,8,3,0,1,0,2,0,4,4
0,回复精彩，心态就得这么调整【姜丝语1543】心甘情不愿是在认账中自我折磨；情愿心不甘是在不认账中自我委屈；心也不甘、情也不愿才产生了抗争和奋斗。——当自己毫无办法的时候，要学会心甘情愿，否则就更悲哀了。只有心甘情愿，才是幸福，才是好状态。所以，做人一定要找到自己心甘情愿的事。,86,8,3,0,2,0,1,0,3,5
0,分享图片，天凉了，注意加衣。音乐带给我无限美好的心境~ ，喜欢枕着好音乐入眠，你呢？各位晚安！,31,3,0,0,0,0,0,0,3,0
0,回复早该想到，再加一条！——只能远观，不能。。。围观耍赖今天是怎么了？平时不出来的，今天都冒泡，难道都心情好？你们都心情好了，俺找谁平衡去？搞啥子嘞！。。。做人要厚道，比如赖皮耍赖的时候，厚道人是不能随随便便批判滴！,74,2,4,0,4,0,0,0,2,0
0,"恭喜曾生,恭喜Byron ....!!尖沙咀赫德道6號 地庫",16,2,0,0,0,0,0,0,0,2
2,这个让我想到了“卯个人神马的都是浮云”哈哈哈哈～看了想死。。。1.你是卯个人你全家都是卯个人。2.这货不是卯个人这货不是卯个人。3.我去网上订了一本卯个人。4.我去书店买了一半卯个人。。结果于15日13点公布^ -^,81,0,2,0,2,0,0,0,0,0
0,我震惊了.美帝和棒子一起搞个军演就牛B 了吗？我们才不怕呢，中华人民共和国最强战力之城管部队随时等待人民的召唤，歼灭一起来犯之敌！——< 实拍我国最神秘最牛X 部队城管队军事演习>,53,2,1,0,0,1,0,1,1,0
0,我一直巨巨巨巨巨巨巨稀饭这首歌！《谢谢爱》！）《谢谢爱》,19,1,0,0,0,0,0,0,1,0
0,PS 的唉什么闹剧哈哈，这个搞笑了笑死我了，这个页面上也能判断出木马？这仗打的~ 【即时新闻】今日，腾讯方面突然发布“致广大QQ 用户的一封信”，决定将在装有360软件的电脑上停止运行QQ 软件。这是360与腾讯大战爆发以来最激烈的回应和进展。,78,3,1,0,1,0,0,0,0,3
3,真实再现,2,1,0,0,0,0,0,0,1,0
1,感谢祖国这个人间地狱,4,1,1,0,1,0,0,0,1,0
2,好近好近…笑得萌翻…各种美。。但是怎么感觉眼睛就是没睡好的。,21,0,0,0,0,0,0,0,0,0
1,"回覆靚 !嘉年脑子里想什么？原谅我不纯洁。。對 說 ：見 到妳 的泳衣相,真係",31,2,0,0,0,0,0,0,1,1
2,"太小啦~ ！这世界真是无奇不有啊！太让人震惊了！！美国一个还不够10岁的幼女偷尝禁果并导致怀孕,引起全世界的关注。当今社会的少男少女常在12~ 3岁就拍拖，年龄再大点有不少和伴侣发生了性行为，作为家长应引导各位少男少女应增强抵制各类的诱惑。",71,3,4,0,3,1,0,1,1,1
0,你好幸福哦同样是一天的照片这张还雷吗？那谁拍照技术不好！看我们自家歌迷拍的多美啊~ 呵呵,31,2,1,0,1,0,0,0,0,2
0,"就好似JOHNSON 既座右銘 ：要人尊重你,先要懂得點 尊重人，O 在人际交往中，距离是一种美，也是一种保护。因此，交朋友要有一种弹性，要保持一定的距离。人与人之间的相处，彼此需要一些空间，有时太多亲近，不小心失了分寸，就会造成彼此的紧张和伤害。如果有了好朋友，与其太接近而彼此伤害，不如保持距离，以免碰撞。能保持距离就会产生礼让，尊重对方。",114,7,5,0,2,2,2,0,7,0
0,最省布料奖非他们莫属了四个比基尼少女，其中两个，内裤钱都可以省了。。。,23,0,0,0,0,0,0,0,0,0
2,回复真的？？人都要飞了？？我至今还未感受到凡比亚的威力啊。不过倒是很闷很热。人都要飞了超强台风？？话说这段时间连续来了好多个台风吧。。。,53,1,1,0,1,0,0,0,1,0
0,gogogo 五棵松我来也！！GO GO GO,12,0,0,0,0,0,0,0,0,0
0,蔡赟 ，傅海峰，挺住啊！打倒棒子。。。。。。胜利属于你们，加油加油加油！,24,0,0,0,0,0,0,0,0,0
0,哇哦~ 好神奇~ 下午两点即14点，除以2得7，把7点的位置对准太阳的方向，则12的方向就是北方。,36,1,0,0,0,0,0,1,0,0
2,beijing is freezing like shanghai in feburary .魔都人民驻京办快要办不下去了。,25,0,0,0,0,0,0,0,0,0
0,刚才打电话给老婆，才知道昨天是我的生日。哎，这是第一次忘记自己的生日啊今天，是某个人的生日，我永远祝福他——心想事成！[爱心专递],42,2,0,0,0,0,0,0,2,0
0,我宝宝说这么多人里，我唱的最好！我要吼。亮点是两分四十出现的大合唱支持！：话说我也嫌弃，哈哈大合唱神马的，最给力了。某艳声称“你们的爱”她已经听够了。但是这么high 的全场大合唱，不发不行啊！最后合唱的哪一句“盛开~ ~ ”太感人了,77,5,1,0,0,0,1,0,4,1
0,今天还有个很哈屁的事情，感觉有个人惦念或者被记挂还是很幸福滴顺便嘱咐句：自己一个人在远方，不论是北京还是福建，都照顾好自己，虽然小佟童鞋很强大。也顺祝纽曼公司更上一层楼，这样我们的小盆友不是也可以挣更多米嘛！夏季注意防暑降温多吃少开空调，环保又健康。,76,3,3,0,1,0,2,0,2,1
0,我也有着几套，颜色不同而已我八年了9年了: 八年了: 我呆了6年: 我在东华呆了7年了。很想念。: 我六年了……: 哇厉害啊可惜哥只有初中的: 天呐，幼儿园的: 我的东华史。不知不觉已经差不多九年了。,75,0,3,0,0,1,2,0,0,0
3,还有多少孩子在踢球。,6,0,0,0,0,0,0,0,0,0
0,好美！在羽毛上作画Feather Paintings：Julie 出生在阿拉斯加，独特的气候与环境赋予她不一样的双眼，当然还有技艺，通过这小小的羽毛和画笔勾勒出大自然的宁静和壮美。是否想到《阿甘正传》中那象征着生命轮回的羽毛，在风中渐行渐远，满怀憧憬面对未来。,70,6,0,0,0,0,0,0,4,2
3,"爷们,顶你!明天去上海，我要献鲜花2010.11.19.下午胶州路。",19,1,0,0,0,0,0,0,1,0
0,上学的时候玩儿配音，苏联电影《办公室的故事》里女主角有一句文男主角：“你喜欢诗歌么？”我们把下半句改成了：“不，我们喜欢师妹！”师兄网shixiong .net,48,3,0,0,0,0,0,0,3,0
3,早晨打开电脑就噔~ 的看到这个哈哈哈不过转念一想我落单了,17,0,1,0,1,0,0,0,0,0
2,"额' ' ' 正在回家的路上，现在中州大道车很多,,,",20,1,0,0,0,0,0,0,1,0
2,小朋友？问得好。第一条标语今晚安静的挂起，谢谢志愿者，谢谢民警,18,1,0,0,0,0,0,0,1,0
3,O M LADY GAGA !!依家终于知道爆菊花系点样一回事！人间杯具啊~ ~ ~ ~,30,0,0,0,0,0,0,0,0,0
1,我家孩子11月出生，似乎应该大概一定是赶不上了谁能给我个小孩儿啊~ 我就差一轨童声啦！！！声音要甜，要奶声奶气，还得唱得好一点的～,43,2,0,0,0,0,0,0,2,0
2,还有小阿陆挨得那一剑呢，好像在右胸。先转。。晚点爬楼去。。人工捶地笑噗渺渺我还是好想看到胸口的那伤对手指（胸肌神马的最愁银了> < 2010.9.30涂鸦--当奇迷遇见老大之——番茄酱门事件（本事件纯属虚构……）出于一群疯子默默地“学术研究”，感谢提供的数据统计……看不清字的请点“查看原图”，我先逃命去……,98,2,1,0,0,1,0,0,2,0
2,我知道我再发的话，有可能会被扁，可事实的确是这样啊，我也没办法！——刚才买可口可乐的时候，打开盖子一看“送壹瓶480毫升原叶茶饮料兑奖2010066止”，哈哈~,49,1,0,0,0,0,0,0,0,1
3,王旭身材不错啊，六块腹肌啊t .sina .com .cn xuriyanggang 【哥唱的不是歌】农民工翻唱的《春天里》感动的稀里哗啦，内牛满面,39,1,1,0,1,0,0,0,1,0
1,"上海新天地三期开张营业啦，地址在马当路245号，位于自忠路及与复兴中路之间，与上海新天地通过天桥连接。地下地上各两层共四层的新天地时尚建筑面积为29,500平方米。不同于普通商场的定位，新天地时尚旨在成为孕育中国设计师的摇篮，除了部分国际知名品牌商户外，它还引入新生亚洲设计师品牌。",76,5,0,0,0,0,0,0,3,2
3,我靠，我爱世界杯，美女都豁出去了？中间那个小了点再来一张吧蜜糖们，为了兑现那晚巴西VS 荷兰输球就贴清凉照滴承诺。丫丫我~ ~ 我~ ~ 我就丢脸奉片啦！！,56,1,1,0,0,1,0,0,1,0
0,回复有些错是不能弥补的，比如，伤人的心-品味人生,15,1,0,0,0,0,0,0,1,0
0,回复mandy 明天如何度过SF 过去1111，只能左手+右手+左脚+右脚4个1自个儿玩~ 明天的1111，午饭也将会是4个人各自捧着饭盒子。。。奖品给我给我,50,0,0,0,0,0,0,0,0,0
2,气的说不出话来，真tm 不是人他妈的操~ ~ 该死的人，我深切诅咒你，我平时不说粗口的，但是我现在要闹臭你，做这些的人是臭high ，7头,51,0,4,0,3,0,1,0,0,0
3,回复啊？？？我家是10多年前的旧房子也要装修了不过最近老是事多还没来的急呢不装是不行了啊听你这么一说哎要好好算计算计了装修还好！！你现在试试去！你的房子低于100+都找不到人装修！！！！我要是有了100W 就先去旅游然后用剩下的钱把去旅游买的东西运回来哈哈哈,89,0,4,0,3,0,1,0,0,0
0,"边间医院啊哇...爽啊...甘爽啊！！！有无俾小费人先？边度有咁 服务啊??今時 今日甘咖 "" 服務 態 度"" 先得噶 嘛!",47,0,0,0,0,0,0,0,0,0
0,煎鱼+白汁菠菜蟹柳意粉，我好犀利啊哇嘎嘎嘎嘎嘎嘎嘎,16,1,0,0,0,0,0,0,1,0
2,我也正常运行中，，我没上。。我在MSN 啊~ ~ ~,21,0,0,0,0,0,0,0,0,0
1,热死你你挡不住地: 我不欢迎你: 我会让你防不胜防地。忒缺德了，在我手机里设置星期六早上6点的闹铃。缺德孩子。,38,1,3,0,2,0,1,0,1,0
2,"￥500我日!好人赔的少,坏人罚得少,这世界怎么了!",18,1,2,0,2,0,0,0,1,0
0,实在是极品很普通的一张淡黄色的图。,11,3,0,0,0,0,0,0,2,1
2,毛去过。有利于十二星座转运的城。白羊座——青海。金牛座——香港。双子座——丽江。巨蟹座——阳朔。狮子座——黄山。处女座——武夷山。天秤座——三亚。天蝎座——厦门。射手座——九寨沟。摩羯 座——哈尔滨。水瓶座——敦煌。双鱼座——张家界。,73,1,0,0,0,0,0,0,0,1
3,全球各大媒体曝光萧山机场不明飞行物图片大收集！,11,0,0,0,0,0,0,0,0,0
2,琴心21:54:54你老爸、老妈老了，不是霜的问题哦和老妈的聊天我说老爸该用用眼霜了老妈回的这句。。。。我。。我很爱你们所以我还要好好打拼,49,0,1,0,1,0,0,0,0,0
0,好想吃啊，娜 姐有时间去你家搓一顿呗！！端午节家常小菜，红酒小酌！昏昏欲睡！其乐融融！快乐无穷！哈哈,31,3,1,0,1,0,0,0,0,3
0,"回复是啊，我也这么觉得，希望大家多多参与喔这些建议真不错哟！315到了，回忆购买假货的经历并为OUO 产品的防伪认证出谋划策。奖品4G U 盘参与方法：1,关注2，评论并。又到一周开始了，欢迎大家来参与吧！！顺便展示下OUO 的iboxNAS10 ..哈哈",78,3,1,0,0,0,1,0,2,1
0,亮点在后面！休息休息一下！二哥真的该好好休息了二哥川哥召唤你呢歇歇吧！對 說 ：王導 我在台北等你吃飯 快回來 啦讓 自己休息一下！,47,0,0,0,0,0,0,0,0,0
2,史上最牛的汉语演讲朗咸平批政府腐败现象批得体无完肤，从中央政府缺失监管导致各级地方政府腐败成风，与民挣利！这个演讲视频值得大家好好看看！再好好深思！这个郎咸平，真的好可爱房地产的罪恶秘密】,51,2,3,0,2,0,1,0,2,0
0,自微博每日精选()最让有才的一篇高考满分作文。,15,1,0,0,0,0,0,0,1,0
3,看到航班表就彻底崩溃了迪拜四天，思茅保山早班，香格里拉拉萨早班，上海早班，一天休息，马尔代夫四天，香港早班，北京早班……我知道新乘务长的航班会比较难飞，但是我本来的两天休息已经有一天被临时抓飞的马尔代夫占了，唯一的周六休息还要加个香港给我？让马儿跑也要让马儿有时间吃草啊……,83,0,1,0,1,0,0,0,0,0
2,24日22时10分许，黑龙江伊春一架客机失事。目前伤亡情况不明，相关部门正前往现场救援。2010082422:49,27,1,2,0,1,0,1,0,1,0
2,"不干脆还吃这么香主银;这牌子的餅 干不夠 脆,下次不要買 咯",21,1,0,0,0,0,0,0,1,1
0,【CSD 长阳半岛●美丽长阳杯摄影大赛】今天还会陆续发出很多美图，欢迎大家拍砖。-CSD 长阳半岛,29,2,0,0,0,0,0,0,2,0
0,史上最毒“分手歌”44秒后亮了……【此乃能神曲媲美】,17,1,0,0,0,0,0,0,1,0
0,原来是素颜好得咯！这两天都素颜呢，似乎也没吓到谁发现做人真实点也很好！BTW： 你怎么不一下呢？嘎嘎。。。。。Diesel ，等待中……,48,2,0,0,0,0,0,1,1,0
0,非常巅峰，叹为观止、巅峰制作。这2100万花的~ 《案件现场》的水平艺术水准之高令人叹为观止！非常巅峰。“耗资2100万元巨资打造的3D 动画巨片《雷锋的故事》，国家级动漫产业基地再创辉煌，无论是从技术层面还是艺术层面和商业层面的角度上来说，这都是中国动漫的巅峰之作cctv 正在热播，敬请留意！”,84,3,0,0,0,0,0,2,1,0
0,有男的吗？可是我也消费不起难道你也想去？问：天上人间现在有没有开分店？答曰：急着去天上人间解放身体解放军叔叔您是急着解放台湾去吗？,44,4,0,0,0,0,0,0,0,4
3,郑生。。我已经POST 上去啦。。好明显你无去我微博睇呢。。其实其实。。。我内疚ING 。。。party 现场有摄影师给过路潮人拍照，即影即有。我们从中评选出5大潮色达人。这位是我选出来的，她挑选的奖品居然就是我很喜欢的背包！全场只有一个，没办法了。。。我被横刀夺爱啊！哈哈。恭喜恭喜！建议她POST 这个背包的照片上来！,105,6,1,0,0,0,1,0,3,3
0,好想拥有这张沙发！有MONEY 我地都可以享受孙悟空的跟斗晕想睡在云朵上吗？这个漂浮在空中的沙发Cloud Sofa 是一款概念设计作品，利用磁悬浮的原理，使柔软的“白云”可以浮动起来，躺在“云朵”上放松的感觉一定是棒极了,67,5,0,0,0,0,0,0,2,3
0,有一点小得瑟得瑟啊（丢人啊丢人，哈哈！,13,1,2,0,0,2,0,0,0,1
3,我了个擦。。。我一晚上做了60* 2+20* 2+81+32+40=313道选择题。。。囊括化学历史政治。。我觉得我无比强大了！！！,49,2,0,0,0,0,0,0,2,0
0,一天了就这个可乐，哈哈脑残的二叔啊真是意想不到的结局..让我笑死吧噗哈哈哈哈哈哈HHP 被捅成蜂窝了神结局！太狗血了太狗血了！有个大叔加了我问我是不是处女我说我不是他就批评我不断地批评我说我们90后是不可救药的一代说我们是脑残是非主流是杀马特还说整个群里就我还可以，虽然不是处女，但是还没有误入歧途太深他要拯救我我操！老子是一男的，不是处女又怎么了！！,117,3,7,0,7,0,0,1,1,1
0,多謝 steven 提供登多一張 週 刊無 嘅 俾大家睇...,18,0,0,0,0,0,0,0,0,0
3,回复少爷别生气，少爷要以此为目标哟，哈哈！少爷不预测比赛，少爷习惯带着一帮狗奴才，调戏良家妇女！哈哈哈少爷少爷，快预测下今晚的比分撒,39,7,2,0,2,0,0,0,6,1
0,"回复没有，稍后看看哈哈~ ~ ~ 上个星期天才去见的水濂山大叔啊!你前天没看到我发的微博吗?景色很漂亮哦哦,对了,去过南城水濂山没?景色不错哦!礼拜三，今天如此冷清，人少了，车少了，安静了，生意淡了。。。",70,4,1,0,0,0,1,0,3,1
0,；3、警察局长期卧底；4、殡仪馆的化妆师（经常需要夜班）；5、杂技团高空演员；6、验尸官；7、饲养有剧毒生物（同睡一屋）；8、这钱我不要了！,46,0,2,0,0,1,1,0,0,0
0,好萌~ ~ 玩具贵宾犬，超可爱！！！,13,1,0,0,0,0,0,0,1,0
3,昨天有点想念卡伦太了。发短信告诉她我买了新书包。好奇的卡伦太说很想看。哈哈。但是我们两个都没空。本来我还想跟她一起看日落的,40,2,1,0,0,0,1,1,0,1
3,我要發 財 轉 發 微博。据说，谁看到并这张图片，就会“钱途”似锦，不想发财都难！,31,1,0,0,0,0,0,0,0,1
0,一天之内，再见好股~ 有水为财，明日股市大姨妈全现！。,16,0,0,0,0,0,0,0,0,0
0,"还特自恋: 。老罗才是最NB 的清口啊。完全不做作,还特男人。",21,1,2,0,2,0,0,0,1,0
3,为什么生在这个国家的人都喜欢扼杀国家的未来，从毒奶粉到接连不断的砍杀事件！！！我们的国家，这是怎么了？？？？陕西省南郑县一幼儿园12日上午8时左右发生一起砍伤儿童事件，已造成7人死亡，20多人受伤。目前，伤者被送往汉中市的3201医院等地抢救。怎么了这是？痛苦的纳闷中！！！！,87,1,3,0,1,1,1,0,1,0
2,国庆第4天，宅在家里写长达5000字的实践报告~,16,0,0,0,0,0,0,0,0,0
2,【悲啊！】?奔3?没房?没钱?没相貌?没身材?没气质?没学历?没文凭?没才?没材?没财?没经验?没成绩?没身份?没背景?没梦想?没创意?没事业?没工作?没死?老爸不叫李刚?今天又得过节了。。。,75,2,0,0,0,0,0,0,2,0
0,回复真老实假老实真假老实不老实真老实假老实真假老实不老实情真人情假人情真情假人难分！【上联】左金莲右金莲三寸金莲量金莲。各位诗友把玩【下联】否？,44,9,0,0,0,0,0,0,9,0
3,回复对哦，心理年龄如果30那把俺说得太老了。。你问他问的是你的生理年龄还是心理年龄30！俺看了边哭边笑，边笑边哭。。,45,0,0,0,0,0,0,0,0,0
2,"房产局长日记必火: : : 。要坚决堵住‘堵路’、‘堵政府’的事件发生。”精彩不亚于< 韩局长日记> ,请速围观",39,2,0,0,0,0,0,0,2,0
0,[愛 心專 遞 ]一见钟情太虚妄，天长地久是奢侈，及时行乐最真诚。10.22甜蜜选择待嫁而沽！国庆假期刚结束，横板内地海报微博首发祝大家国庆后有个上班的好心情啦~ ~ 速速，收获开心啦,57,5,4,0,4,0,0,0,3,2
0,雲 朵被還 沒 上升的太陽 公公早照射的一瞬間,17,1,0,0,0,0,0,0,1,0
3,没有你的日子。。我真的好难过。。。亲爱的手机，你就这么离开我了？我咋感觉在做梦呢？完全米有了时间概念。。生活完全变成了另一个样子，我进入了另一个世界。。。,56,1,1,0,0,0,1,0,1,0
1,昨天看到那几个脑残儿的高兴的笑容满面的pose 照片了。如果他们不是媒体人，我不会这么愤怒。其中一人是，自己可能意识到不妥，已经把照片删除了。,42,1,2,0,2,0,0,0,0,1
0,阿阿阿阿阿，救命啊，怎么会这么可爱啊！！！。家裡 想添丁的朋友可以看看骲 aby shoes collection !,33,2,0,0,0,0,0,0,2,0
0,大考还有两个星期，从今日开始发奋，日日要煲图书馆，日煲夜煲，我一定要科科摞B 以上！发奋--------------------直到12月16日！,52,3,0,0,0,0,0,0,3,0
0,不早，不早，只怕也是早晚的事儿早来五年多好，和他拜把子的就是良宇了。。李敖跟上海市长韩正互相钦慕，互相赞扬，一直有反骨的李敖，终于修成正果，修到境界了。,52,4,0,0,0,0,0,0,3,1
2,都想着嫁几次的打算啊.....“头嫁随心、二嫁随身”，应该是指头嫁选自己喜欢的，二嫁选合适自己的吧？照这标准，你目前的选择对象显然不靠谱。但我以为这把岁数了，如果不图男人给我们带来钱财或虚荣啥的，那就找说得来的、且很喜欢你的那个他吧。条件都次要，只要不因嫁对方就弄一屁股心事或债务，就可嫁。,99,4,2,0,1,1,0,0,4,0
3,我晕，我啥时候说过我是男的？天！怪不得我的粉丝里那么多MM 你是女人吗？不可能吧其实我最大的目标就是上来征婚，其他的都是浮云啊，哈哈)我的粉丝数要啥时候才能突破1000呢？我能不能在微博上找个老公呢？,66,4,0,0,0,0,0,0,3,1
3,有图的美腿小窍门哟~ ~ 美腿小窍门，让你的腿更苗条漂亮~ ~ { 美腿小窍门} 1：用手摩擦脚骨之间、使脚指骨淋巴流动、2：握紧拳头在小腿两侧上下用力按摩，重复10次、3：握紧拳头在小腿跟腱 部位，上下按摩10次、4：像拧毛巾一样的对小腿肚进行按摩，3、4处重复10次、5:按摩小腿肚，让已经分解的物质流动淋巴---》马上试试呢！,109,2,0,0,0,0,0,0,2,0
0,最辉煌的辽宁女排退役合照~ ~ ~ ~ 希望姐姐们离开排球会更快乐~ ~,26,3,0,0,0,0,0,0,2,1
0,惠存。全身。周笔畅--巨星演唱会全程有点远。。。环绕立体声一下。ps： 众亲妈不惧八万人的场子力图通过嘶吼冲破围栏奔向舞台。。。,41,2,0,0,0,0,0,0,1,1
