User,Gender,Level,Message
挂面11,保密,5,"元旦到了
祝b站的小姐姐们：
落雁沉鱼 兰质蕙心 明眸皓齿 靡颜腻理 清词丽句 清辞丽曲 琪花瑶草 曲眉丰颊 螓首蛾眉 水木清华 爽心悦目 天生丽质 天香国色 我见犹怜 宛转蛾眉 霞光万道 小家碧玉 杏脸桃腮 煦色韶光 杏腮桃脸 雄伟壮观 杏雨梨云 涎玉沫珠 妍蚩好恶 鱼沉雁落 宜嗔宜喜 旖旎风光 远山芙蓉 艳色绝世 余霞成绮 宜喜宜嗔  艳紫妖红 朱唇皓齿 左家娇女 章台杨柳 阿娇金屋 闭月羞花 逞娇呈美 春暖花香 春色满园 春深似海 彩云易散 姹紫嫣红 斗美夸丽 尽态极妍 斗艳争辉 蛾眉皓齿飞阁流丹 国色天香 胡天胡帝 花颜月貌 绝色佳人天生丽质 慧质兰心 秀外慧中 暗香盈袖 闭月羞花 沉鱼落雁 倾国倾城 温婉娴淑 千娇百媚 仪态万千 美艳绝世 国色天香 花容月貌 明目皓齿 淡扫峨眉 清艳脱 俗香肌玉肤 清丽绝俗 仪态万端 婉风流转 美撼凡尘 聘婷秀雅 娥娜翩跹 俏丽多姿 如花似月 风姿卓越 顾盼流转 清丝纠缠 举步轻摇 美若天仙 美愈天人 清秀高雅 艳冠群芳 剪水双瞳 美艳绝伦 神仙玉骨 楚楚动人 貌赛西施 姿容绝代 如花似玉 窈窕淑女 气质高雅 美丽四射 樱桃小口 静若处子 动若脱兔 小鸟宜人 善解人意 明眸善睐 娇艳妩媚 玲珑剔透 玉指如葱 肤如凝脂 眉如新月  樱桃小口 粉妆玉琢 桃腮杏脸 亭亭玉立  贤良淑德 秀色可餐 水灵秀气 小家碧玉 完美无暇 娇羞可爱 婀娜多姿 美丽动人 人面桃花 柳眉杏眼 温文尔雅 明艳动人 天生尤物 芙蓉如面 娇艳惊人 冠压群芳 风华绝代 绝代佳人 一代佳人 一代容华 绝色美人 月里嫦娥 华如桃李 桃羞杏让 快发红包

祝b站的男生：
元旦快乐"
为什么起的名总是重复,女,3,方锦龙和周深牛逼！方锦龙大师！周深神仙天使！小破站做的真的好棒！中间哈利波特那段我鸡皮起一身！
狐狸丶今年也是单身狗,女,5,今天就是2020年了，回想2019，放佛就在昨天，真是度日如年啊！在这里，祝大家新的一年里心想事成，万事如意，工作顺利，天天开心！
奇卡安静,女,5,就是下次提词器放低点哈哈哈
辽东布衣,保密,6,小破站不鸣则已，一鸣惊人，这么一搞让其他平台，甚至一些卫视相形见绌啊！
络嘟嘟,女,4,第一年超乎我的预期，期待明年，答应我，明年一定要请周深，这个神仙不能让他跑了
依然丶半夏君Sama,男,6,没想到小破站第一年的跨年晚会可以办的这么好，每个节目都能戳中内心的一小块，开心的，感动的，虽然之前跨年晚会引起了一些非议，不过整场晚会的节目编排，舞台灯光等等应该已经打了某些人的脸。未来的一年还是继续喜欢小破站的一年。哔哩哔哩，干杯。
蘑菇鸭的日常,保密,4,本来以为今年依然是看各大卫视的跨年，万万没想到，今年是跟着小破站跨年，其实很早就是B站看视频了，大概5，6年吧，看着B站一步步成长，看着他慢慢上市，慢慢强大，自己也从10多岁的孩子变成了20多岁的成年人，现在我自己有了经济收入，业余时间也开始试着当UP，虽然播放量不高，但是也感觉成为了B站的一员，这里就是我的另一个家，最后什么也不说了，[2233娘_大笑]哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
jsanmky,女,4,"新年快乐鸭

不知道为什么，不喜欢发说说、朋友圈、微博，可能因为那边有人认识我吧。不喜欢让认识的人知道我的动态，想找一个没人认识我的地方，好好跟自己说一声：2020年，你一定会过的没那么压抑的，加油！
找来找去，想来想去，好像只有小破站这个地方，没人认识我吧，2020年，加油！"
东方丶都市,保密,5,b站提前录好的，最好笑的是我觉得是倒计时，朱广权一直想笑，吴亦凡一脸懵被迫营业，寻思今儿不才十六号吗
千夜家的猫,保密,4,你敢给我点个赞送我上去我就敢祝你新的一年里一帆风顺，二龙腾飞，三羊开泰，四季平安，五福临门，六六大顺，七星高照，八方来财，九九同心，十全十美！
肆玖-叁仟丗界,保密,4,就在这一晚，我突破了3级，终于成为了4级号。在新的一年里，还要好好努力。
我的天起名字好难啊,保密,3,日落   月升     星繁
所有都好,保密,5,这么快就传上来了，哔哩哔哩厉害了
逍散遥人,男,6,"[小电视_害羞]这也太好看了, 比拼流量的强太多了"
逼果耶,保密,4,这UP估计是涨粉最快的UP了，才过了1年就100w粉丝了
木咻君552,女,5,看见弹幕有人说这开头中二，我想你不太明白，这是我们自己的小世界，我们的小破站守护了我们的小世界并且尊重它。从初中开始逛小破站，到现在大二有五六年了，真的很爱它。比其他视频软件相较，我能从小破站感受到爱，和我这么多年热血的青春。我爱这里！加油小破站！越来越好！
一只虎鲸-,保密,5,我觉得今晚b站的晚会品质超越其他卫视的晚会，非常具有包容性，内容形式丰富多样，涉及中文日语英语国风日漫美剧抗战剧，而且都是经典之作，请的歌手也都颇为专业认真，让我们享受了一场视听盛宴。谢谢b站，陪我跨年！
bili_76863534028,保密,2,新年快乐！
漫威专业狙击手,保密,5,虽说与央视合作了，很多歌曲都要展现主旋律，但B站拿捏的很好，前面的歌曲正能量，却都很好听啊，不是老掉牙的歌曲，就算是红歌部分，张光北老师自带梗点，也让人讨厌不起来[小电视_赞]
_张小先森_,男,3,晚会我总会有不感兴趣的，看回放会跳过，可是这次B站的我一分钟都没跳，我严重怀疑B站窥视了我的生活[小电视_发愁]
963172,保密,3,"这次晚会完美的呈现了，B站特色，简单地说，就是年轻人喜欢的元素揉和。
我们平时为什么喜欢看鬼畜？是因为有我们喜欢的梗，单纯的讲一个梗，不是一个好鬼畜，要配上适应的音乐或特效才行，如果是几个梗融合起来，那就是大场面了，今年的晚会就是这样，如果是纯音乐演出我不会看，如果是大师演出，我不一定会看，如果是我喜欢的乐曲，我可能会看，但是如果是大师带领着乐队演奏我喜欢的乐曲呢？那我一定会看，而且还会看好几遍，因为它不仅迎合了大众的口味，还有一个大师的招牌可以打出，可谓是真正的雅俗共赏。从理查德克莱曼的海德薇进行曲，到方老师的绝技表演，都是高潮不断，荡气回肠，小破站用这种方式，完美的呈现了我们的童年。
特别是教父那一段，我真的很感动说实话，B站追教父的人不算太多喜欢他音乐的人更少。但小破站还是请方老师在这个新年之夜给我们专门
演奏了一遍。正如我所说的，这就是B站特色。别的平台不可能做到的它完美地迎合了我们年轻的口味这是专门为我们年轻人量身打造的一套节目，从日薄西山到繁星满天的这三个多小时里，全球和各地的明星和大师们，不是在表演新的节目，而是在重现，重现的是我们的童年。
我一向容不入那些饭圈追星族里，很难理解他们的疯狂。但是，当炮姐神曲，真相只有一个[调皮]响起时我也想在弹幕里跟着大家发小破站牛b我想，这可能就是B站文化的魅力吧。百花齐放，无所不包。三个多小时，总有一个节目适合你值得让你去环湖，值得让你去回忆。
还有弹幕，这也是B站的一个特色。我曾为自己的爱好感到孤独但是我看到B站排山倒海的弹幕我才发现在这里找到了同志[微笑]第三遍我已经
准备去看了，就是专门看弹幕[doge]。
今天有感而发，第一次写了那么多，有什么意见不同的地方，大家多多包涵写了那么多，现在已经四点了写东西也很累的大家如果赞同我的观点就请点个赞，就当我帮你们说出自己的心声[滑稽]最后祝大家新年快乐，B站不倒[2020]"
黑暗罗辑森林,女,4,光 速 过 审
卑微贝富强,男,5,看小破站的晚会就有一种看女儿出嫁的感觉，越来越多的人关注到bilibili这个平台，看到小破站影响力越来越大我真的是打心眼里高兴，也真是打心眼里的舍不得[2233娘_大哭][2233娘_大哭][2233娘_大哭][2233娘_大哭]
冷月暗恋秋风,保密,5,"方锦龙老师太绝了，明天热搜预定！
秒杀各大卫视压轴节目呀！听的心潮澎湃，热血沸腾，头皮发麻！我裂开了！"
Snow小可,男,5,全程没抽到奖的来举个爪[微笑]
洋山不断,女,3,真的，B站第一次办晚会很成功，不像其他地方频道只请明星撑流量。B站请的也不全是些当红小明星。而且将B站将自己特色表现出来的同时，又穿插了很多童年回忆，像柯南，火影之类的，一出来我就十分感动，权游和魔兽也是。抛开动漫不谈，里面给人最大感触的是音乐美，真的太震撼了，理查德先生演奏的哈利波特也是又牛逼又感动，画面太美了，让我一下子回忆起了原来看哈利波特的日子，最厉害的是方老师的，除了太厉害我已经没什么话可说了，其他地方频道敢这么搞吗，能这么有创意吗。B站真正做到了现代风尚，中国传统，国内外不同文化，童年回忆，个人喜好的有机结合，很有内涵。说真的，我觉得这是我这么多年一来看过的最多元化内容最丰富的晚会了，简直秒杀某些只是唱歌跳舞毫无内涵看了就忘的地方频道
一坊通行,男,5,"这场晚会带给我关于中国文化的自信，大致抵得上十场春晚。

    《权游》与《镇魂街》的燃上加燃，点燃了我整夜的激情；方锦龙大师的名曲串烧，让人游离在乐器与音乐的和鸣之中；魔法与钢铁的交互，令人穿梭于魔幻与现实之间。戴荃《大氿歌》的飘逸，周深《千与千寻》的空灵，宛如两簇黑洞，让人无法逃逸，深陷其中。更有众多明星大腕与B站大UP不负其名的倾情演出，更是将整场晚会推上了更高的高潮。这是一场中外优秀文化交汇的饕餮盛宴。

    再另外谈一下吴亦凡，本人除了在B站听过一次他的《大碗宽面》外就没再关注过他什么，只见过舆论对他的评价不是那么的友好，但今夜的演出着实高出了我个人的预期，晚会闭幕前夹在那么多大佬中间还能不算太掉价，着实令人惊喜，只能说靠实力才能赢得众人的尊重，玩什么花样都是虚的。"
七呼咪,保密,5,为方锦龙老师和周深小帅（可）哥（爱）打call！！！[2233娘_第一][2233娘_第一][2233娘_第一]
玉婷是女超人吖,女,3,之前只知道方老师nb，但没想到这么nb，本来冲理查德老先生称赞B站来着，还叫了喜欢哈利波特的朋友一起看B站跨年，但没想到被方老师实实在在震撼了一把，今天的晚会太成功了，从策划到主持嘉宾阵容到舞台，方方面面都nb！！！【破音】争取明年跨年搞垮地方台！
旖荷Lotus,女,5,"B站的跨年晚会看得我好感动……
以前的小孩子们长大了有钱了

能把朱广权请过来当跨年主持人了
能把08年奥运会的演奏团队请来镇场子了
能把胡彦斌请过来唱十八年前的我为歌狂了
能把周深请过来唱《千与千寻》了
能在跨年晚会一开场就高呼“为了部落！”了
最新的LOL决战phenix的主唱也请过来了，能在跨年时高喊“我们是冠军！”了
能把周笔畅请过来唱流浪地球宣传曲了
能让跨年晚会上响起权游、HP、柯南、数码宝贝的纯音乐合奏了，主场的还不是哪个歌手，而是大提琴、萨克斯、钢琴
能把老年合唱团请过来唱亮剑然后喊一声“此生无悔入华夏”了
能一开场就唱一首某科学的超电磁炮然后刷上一段“你指尖跃动的电光是我此生不灭的信仰”了
能把魔童降世的主题曲摆上大型舞台了
能为烧烤做个纪录片还唱上跨年晚会了
甚至要宣传什么动画漫画也可以直接在跨年晚会甩一首歌出来了
那兔、镇魂街主题曲都能拿出来唱了，步天歌概念曲也出来了，那兔那首《骄傲的少年》一出来我真的当场落泪
还能让五月天压轴再全唱一遍我的所有青春

我的童年实现了，以前想都不敢想的东西都成真了"
摩登Mod,男,6,新年快乐！摩登在这里提前364天祝大家牛年快乐[滑稽]
奥特爱乃かぞく,女,5,我想说，这是一个新的开始。希望B站越来越好，越做越大，吸引越来越高质量的用户来。建议恢复题目难度。啊，暂时就是这些吧。想占个热评看来不太可能了。还有为什么up还要发单独节目，不是有全场？
一脸仙姑装的帅气白鼠,男,5,我真没想到一个视频弹幕网站的跨年晚会能做到这种程度
Heart゜で柒月,保密,5,永远相信美好的事情即将发生
宝蓝的晓,女,5,那个把魔法帽戴在大提琴上太可爱了[小电视_赞]，是在告诉我们不是她操控大提琴，是大提琴在操控她吗？[2233娘_大笑]
天下一致,男,4,五月天唱了二十多分钟厉害了
炎黄子期,男,5,你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存！
中国boyx小猩猩,男,3,全过程直播间看完的举一下手[妙啊][2020]
言小语II,男,5,"星繁：真的是神仙打架，邓紫棋的《光年之外》、《句号》；方锦龙与赵兆的百人管弦电音乐团（真不愧是老艺术家）；周深的《永远同在》仿佛又让我回到了那个看《千与千寻》的夏天；五月天的《干杯》与《倔强》；吴亦凡的《大碗宽面》；我查德哥的钢琴演凑；当然，最后还有我最喜欢的天依的《茉莉花》，那场面真是太美了，真不愧是殿下。

                                            ——2019最美的夜"
卖萌的总受,保密,5,央视爸爸教各大卫视做综艺，哔哩哔哩教各大卫视做跨年晚会
奈落sama丶,保密,5,"希望各位杠精挑刺的，把你在生活中的不如意放下，新的一年了，得向前看，不要一直停留在发泄生活的不如意上，网络世界谁也不认识谁，也不是你把全体网友当成垃圾桶的理由
我也不是只看不好的地方，弹幕加强了各位在视频中的交流，不管是啊啊啊啊啊啊，还是awsl，还是xxx牛掰格拉斯，这都是一种正面能量的外放和表达
我以一直是大会员，但是有那么很长一段时间大会员限定的动漫电影纪录片里面，骂声不断从头吵到尾，吵架的内容可以横跨b站所以区
所以我不续了，眼不见心不烦
今天这个喜庆的日子里，晚会的视频里
依然有辣么多人在刷一些很影响观感的话，我屏蔽的关键词有2233条，正则有650条，用户有1200多个，但是这些都阻止不了那些生活中不如意的人在网上宣泄自己的负能量
我虽然看到一条举报一条再屏蔽一条回头再去弹幕列表里面把屏蔽的弹幕的用户全给屏蔽了
但这些不说什么标啊，本的
好的环境由大家自己塑造，新的一年我已经给自己定下了一系列的目标
但是希望大家碰到故意在不合时宜的地方刷引战和让你恶心的弹幕，不要在弹幕中回复他，弹幕不是实时的，你举报他屏蔽他就好了
当各位活跃的b站用户，在各个分区各个视频下发表评论结果他发现想杠你却回复不了你的时候
次数多了以后，这种人自然而然就会觉得无趣退站，环境自然而然就会好起来的
新年到了，看了直播再刷了一遍录播
无疑，我也是一个孤独的人
那就祝你们，新的一年不再孤独把[2020]"
三叶是你的名字,保密,4,"这次b站有一个特点不知道你们有没有发现，请来的嘉宾和大部分的演员都是b站的up主
肥水不流外人田[喜极而泣]"
zy是咸鱼,男,5,能请朱广权，让一个中央台主持人出来接私活，真的有排面...
小鱼儿丸,保密,5,能和方老师对抗的。估计就只有暂七师乐队了[doge]
AaronWang488298,男,3,实话实说，提词器摆高了
小时姑娘,女,4,新年快乐！
受受的男孩子,男,4,我做作业时悄悄看这个，结果我爸发现了，他想看我看了些啥，结果看了一会儿我和他一起看了起来[画风突变][画风突变]
江逐月,保密,3,别问我为什么彻夜难眠，也别问我为什么跪着看完B站的跨年，这才是属于年轻人的晚会，这才是21世纪二三十岁的年轻人们真正经历过积淀过的文明，看完你才会鲜明地体会到各大卫视为流量而刻意烹饪出的残渣，才会明白这个时代依然会有真正的情怀，仍然有深刻与内涵可以超越肤浅与平庸。告别2019，再见，亲爱的二十一世纪10年代，我想我会怀念，十年之后仍然怀念，二十年之后依然怀念，一生之后还是怀念，与这个世界最初相遇的二十年，悲伤孤单彷徨，也欢笑温暖倔强，希望我们都不必拘于凡世的尘埃，希望我们始终成为这个世界崭新的希望，希望我们永不陈朽，希望我们永远朝气蓬勃，祝愿下一个二十年，我们能留下一个更加美好的世界
杨小驴子头上的叶子,保密,4,"B站的跨年晚会办地非常成功，
虽然是第一次办，
但是不输一些地方卫视的跨年晚会，
最重要的是没有广告。"
兔子急了不咬人QAQ,女,5,B站跨年好棒啊！还有我最爱的歌手周深，太好听了！
雷霆の雅塔莱斯,男,3,[2020]中考必胜[打call]
安小手,女,5,"卫视台是给粉丝的狂欢，b站是给b站粉丝和各路粉丝的狂欢。
有人说现在的门户视频网站更多人是跟着内容走，对网站的粘性很差。但b站是真的把两手抓的很稳，来b站的第七年，见证了小电视的变化。也跟着他长大。
哔哩哔哩干杯"
翠花小姐的神秘微笑,保密,4,果然最好的都是压轴出场  从开头的理查德  再到茉莉花  再到方老师和罩罩的神仙battle  我真的一点进度条没拉  好激动啊  这才是真正的中西合璧  文化融合  太完美了
半梦芸芸,保密,3,还有364天就要跨年了，时间过得可真快啊，回想起上一次跨年仿佛就在昨天，那我就在这里预祝大家2021年新年快乐，万事如意！
抖m飘飘,保密,5,"最后以五月天来结尾真的太好了
会不会，有一天，时间真的能倒退
回到你的我的回不去的悠悠的岁月
最后再干一杯
永远再干一杯[罗小黑_干杯]"
Odekice,男,5,[笑哭][笑哭]前面看见白衣服吴亦凡b站直播晚会，微博看见黑衣服吴亦凡湖南卫视晚会，一问，这个其实是录播[笑哭][笑哭][笑哭][笑哭]
OwO-KUN,女,5,有和我一样快考试了还在这看小破站晚会的吗[doge][doge]
白湯不加糖,女,3,真的感觉B站这个晚会做的是真不错，所有嘉宾都感觉特别好，感觉每个节目也都特别好，没有那种尬唱的感觉，而且技术上也特别过关，今年跨年什么卫视都没看，就在小破站跨的，有排面！
果喏八嘎阿嚯,保密,4,为什么一大堆人里总能看到几个喷子？因为这些锐利大字眼总能刺激别人的眼球，而这也是喷子唯一能找到存在感的唯一方式。[doge]
猫耳HAKU,保密,5,"bilibili做的比卫视好是必然的。
首先，b站本身就是青少年社交网站，其服务对象是定向的青少年，肯定符合青少年的审美观和价值观。而各大卫视的服务对象是他们所认为的“青少年”，然而这群“青少年”其实是凭空“创造”的假流量，实际上，不符合当代大部分青少年的胃口，通俗的讲就是大部分青少年已经看腻了。
第二，b站虽是第一次做这种跨年演唱会，但实际上bilibili每年都会举办各种各样的演唱会，是有丰富经验的，尤其是近些年。
第三，b站拥有更多的创新空间和更多的人才，bilibili分区众多，up主众多，大家都是实打实的、干实事的up主，是群每天为了更新会绞尽脑汁想办法创新的人，当这么一群人联合在一起其带来的震撼是空前的。而各大卫视没多少创新，依旧是请流量明星来撑台，这种湖南卫视早就用烂了的方法自然对喜欢追求新事物的青少年们来说是索然无味。
b站已经不再是当年固执于ACG的小破站了，如今的bilibili早已上市，它已不再是当初中国二次元的专属圣地，它已成为了全面发展的视频弹幕社交网站，成为让无数青年趋之若鹜的圣地，在新的一年里希望b站越来越好，各种大小live越做越棒！[2020][2020][2020][打call][打call][打call]"
44530804655_bili,保密,2,b站紧跟时代，不闭门造车，最喜欢的跨年，有春晚的话继续支持
长风为骨疯君子,保密,5,那些说冯提莫可以跳过的，我想对你们说，哪吒里面说过，人们心中的成见是一座大山，而你们在用这座大山压她。我不喜欢也不讨厌，但我讨厌那些将讨厌挂在嘴边的人。
迟来的终将,保密,5,"人人都有傻傻的童年幼稚期，喜欢把思想寄托在虚无缥缈的动漫游戏上，这其实不羞耻，反而是珍贵的。B站就是明明是一群成年人聚在一起，却依旧愿意为我们搭建“天堂”的地方。
试问自己，我们真的长大了吗？我们只是把思想寄托在了更具体的，更骨感的现实上了。和儿时的我们其实没多大分别。
这反而是一种催人奋进的力量。
B站的跨年晚会，唤醒了很多人的回忆，不要沉溺，但可以重温，B站是避风港，也是温柔乡。这次的跨年晚会，我爱死了。
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~"
